URL,Código de resposta,Erro de notícias,Detectado,Categoria
http://www.scup.com/pt/treinamentos-e-ajuda/suporte/,404,,05/04/13,Não encontrado
http://www.scup.com/pt/cat/case/,404,,14/02/14,Não encontrado
http://www.scup.com/pt/entenda-a-logica-de-buscas-do-tumblr/tumblr-logo-bookmark-old-style-font/,404,,11/02/14,Não encontrado
http://www.scup.com/pt/cat/melhores-praticas/,404,,11/02/14,Não encontrado
http://www.scup.com/pt/treinamentos-e-ajuda/artigos-e-guias/,404,,08/04/13,Não encontrado
http://www.scup.com/pt/cat/geral/,404,,11/02/14,Não encontrado
http://www.scup.com/pt/cat/o-scup-responde/,404,,14/02/14,Não encontrado
http://www.scup.com/pt/treinamentos-e-ajuda/videos/,404,,06/04/13,Não encontrado
http://www.scup.com/pt/cat/colaboracao/,404,,11/02/14,Não encontrado
http://www.scup.com/pt/api/,404,,05/04/13,Não encontrado
http://www.scup.com/pt/dicas-truques-%E2%80%A2-todo-historico-do-usuario-em-um-unico-lugar/,404,,11/02/14,Não encontrado
http://www.scup.com/pt/blog/450/page/20/,404,,30/01/13,Não encontrado
http://www.scup.com/pt/contato/demonstracao-comercial,404,,09/02/14,Não encontrado
http://www.scup.com/pt/blog/450/page/2/,404,,30/01/13,Não encontrado
http://www.scup.com/pt/blog/450/page/10/,404,,30/01/13,Não encontrado
http://www.scup.com/pt/blog/450/page/5/,404,,30/01/13,Não encontrado
http://www.scup.com/pt/blog/450/page/4/,404,,30/01/13,Não encontrado
http://www.scup.com/pt/funcionalidades/identificador-social/,404,,10/11/13,Não encontrado
http://www.scup.com/pt/blog/450/page/30/,404,,30/01/13,Não encontrado
http://www.scup.com/pt/scup-pesquisa-cqc/www.band.com.br/cqc/,404,,18/10/12,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2013-08-01/,404,,21/12/13,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2013-07-25/,404,,21/12/13,Não encontrado
http://www.scup.com/pt/blog/450/page/3/,404,,30/01/13,Não encontrado
http://www.scup.com/pt/turbine-sua-presenca-no-google-com-o-scup/,404,,12/11/13,Não encontrado
http://www.scup.com/pt/?shortcodepro=box,404,,20/12/12,Não encontrado
http://www.scup.com/pt/turbine-sua-presenca-no-twitter-com-o-scup/,404,,14/11/13,Não encontrado
http://www.scup.com/pt/funcionalidades/integracoes-e-api/,404,,07/04/13,Não encontrado
http://www.scup.com/pt/blog/page/2/,404,,13/02/14,Não encontrado
http://www.scup.com/pt/identificador-social-como-subir-listas/,404,,14/11/13,Não encontrado
http://www.scup.com/pt/novas-funcionalidades-do-scup-abril-de-2013/,404,,10/11/13,Não encontrado
http://www.scup.com/pt/o-que-ha-de-novo-no-scup-veja-as-novidades-do-mes-de-setembro/rc-regra/,404,,12/02/14,Não encontrado
http://www.scup.com/pt/addon-abrangencia-levando-seu-monitoramento-a-um-novo-nivel/,404,,19/11/13,Não encontrado
http://www.scup.com/pt/blog/450/page/37/,404,,14/12/13,Não encontrado
http://www.scup.com/pt/os-horarios-nobres-do-facebook/comment-page-2/,404,,12/02/14,Não encontrado
http://www.scup.com/pt/novo-scup-seu-trabalho-com-redes-sociais-nunca-mais-sera-o-mesmo/ga-print/,404,,12/02/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-online-completo-2013-10-29/,404,,04/02/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-online-completo-2013-11-19/,404,,24/01/14,Não encontrado
http://www.scup.com/pt/o-scup-completa-tres-anos-e-quem-fica-bem-na-foto-e-voce/feed/,404,,11/02/14,Não encontrado
http://www.scup.com/pt/tag/youtube/,404,,12/02/14,Não encontrado
http://www.scup.com/pt/2010/12/17/,404,,11/02/14,Não encontrado
http://www.scup.com/pt/turbine-sua-presenca-no-google-com-o-scup/foguete-g-6/,404,,11/11/13,Não encontrado
http://www.scup.com/pt/novas-funcionalidades-do-scup-abril-de-2013/regras-6/,404,,12/11/13,Não encontrado
http://www.scup.com/pt/eventos/treinamento-online-completo-2013-12-03/,404,,29/01/14,Não encontrado
http://www.scup.com/pt/dicas-para-ficar-tranquilo-durante-o-feriado-e-deixar-o-scup-trabalhar-por-voce/dicas-natal/,404,,11/02/14,Não encontrado
http://www.scup.com/pt/taguear-eou-classificar-todos-os-comentarios-de-um-post-ao-mesmo-tempo-agora-da/teste1-2/,404,,14/02/14,Não encontrado
http://www.scup.com/pt/turbine-sua-presenca-no-google-com-o-scup/foguete-g-2/,404,,28/11/13,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2014-02-13/feed/,404,,21/12/13,Não encontrado
http://www.scup.com/pt/cat/o-scup-responde/page/5/,404,,14/02/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-online-completo-2013-08-06/,404,,09/01/14,Não encontrado
http://www.scup.com/pt/funcionalidades,404,,12/02/14,Não encontrado
http://www.scup.com/pt/eficiencia-em-redes-sociais-case-riot/img_6519/,404,,12/02/14,Não encontrado
http://www.scup.com/pt/dicas-sobre-abrangencia-e-a-aba-relacionamento/,404,,12/11/13,Não encontrado
http://www.scup.com/pt/cat/o-scup-responde/page/7/,404,,13/02/14,Não encontrado
http://www.scup.com/pt/scup-participa-do-forum-de-marketing-digital-2013/twitter.com/diegomont,404,,05/03/13,Não encontrado
http://www.scup.com/pt/cat/funcionalidades/page/4/,404,,12/02/14,Não encontrado
http://www.scup.com/pt/cat/melhores-praticas/page/2/,404,,12/02/14,Não encontrado
http://www.scup.com/pt/funcionalidades/integracoes-e-api/?language=es,404,,02/02/14,Não encontrado
http://www.scup.com/pt/turbine-sua-presenca-no-google-com-o-scup/foguete-g-5/,404,,18/11/13,Não encontrado
http://www.scup.com/pt/busca-por-atualizacoes-publicas-do-facebook-nao-retorna-resultados-ha-13-horas/atpubli/,404,,13/02/14,Não encontrado
